#
# Out degree distribution for disease-drug network. G(7151, 466369). 1755 (0.2454) nodes with out-deg > avg deg (130.4), 1138 (0.1591) with >2*avg.deg (Thu Dec  6 12:38:07 2018)
#
# Out-degree	Count
1	530
2	292
3	248
4	198
5	189
6	164
7	163
8	158
9	138
10	138
11	125
12	115
13	95
14	93
15	103
16	100
17	106
18	99
19	96
20	89
21	63
22	77
23	58
24	63
25	60
26	63
27	54
28	63
29	55
30	43
31	46
32	49
33	42
34	38
35	32
36	38
37	29
38	38
39	30
40	37
41	32
42	27
43	28
44	33
45	30
46	31
47	24
48	27
49	24
50	23
51	20
52	20
53	21
54	20
55	18
56	9
57	17
58	13
59	25
60	20
61	12
62	14
63	18
64	17
65	14
66	16
67	8
68	20
69	12
70	17
71	15
72	13
73	11
74	16
75	18
76	10
77	8
78	10
79	14
80	13
81	13
82	13
83	17
84	12
85	9
86	11
87	8
88	6
89	6
90	6
91	6
92	9
93	5
94	9
95	9
96	11
97	7
98	17
99	20
100	8
101	9
102	10
103	5
104	14
105	10
106	11
107	10
108	10
109	5
110	6
111	5
112	11
113	11
114	9
115	7
116	9
117	10
118	8
119	3
120	6
121	4
122	5
123	4
124	8
125	9
126	2
127	7
128	13
129	7
130	11
131	7
132	7
133	4
134	3
135	9
136	7
137	6
138	7
139	6
140	8
141	2
142	6
143	2
144	4
145	3
146	13
147	4
148	2
149	4
150	12
151	8
152	7
153	8
154	10
155	5
156	4
157	9
158	2
159	7
160	4
161	4
162	7
163	9
164	4
165	4
166	3
167	7
168	6
169	5
170	6
171	5
172	4
173	4
174	3
175	3
176	5
177	6
178	7
179	3
180	6
181	5
182	3
183	9
184	2
185	4
186	1
187	3
188	2
189	7
190	5
191	1
192	4
193	5
194	2
195	4
196	5
197	9
198	1
199	8
200	8
201	5
202	4
203	6
204	4
205	9
206	5
207	3
208	7
209	3
210	6
211	4
212	5
213	6
214	6
215	3
216	4
217	2
218	2
219	4
220	4
221	3
222	5
223	5
224	2
225	3
226	4
227	5
228	4
229	3
230	4
231	8
232	2
233	3
234	2
235	4
236	3
237	5
238	3
239	8
240	5
241	8
242	5
243	3
244	1
245	3
246	3
247	4
248	2
250	4
251	1
252	4
253	5
254	3
255	4
256	6
257	6
258	5
259	4
260	4
261	2
262	2
